,Column1,Column2,Column3,Column4,Column5,Column6,Column7
0,424064758,ymICKOupFaOzqgW,nj,806739014118107254,613685949499770328,1970-06-17,1970-01-01 00:00:00.938
1,2010905413,eDXhNElxiJdbJQQ,tX,817477187135472486,474686603898326477,1970-05-16,1970-01-01 00:00:00.056
2,1803152897,pKjhEIxvVVuuqgX,nL,32470104710167977,211847195036756168,1970-04-09,1970-01-01 00:00:00.927
3,1893394929,VdRvJcnfYfQPHfN,JV,193973747086251049,472619071478946210,1970-03-25,1970-01-01 00:00:00.477
4,255425695,YVBAOdWPlbGOiCu,yp,94468524442148168,459883702381913258,1970-07-31,1970-01-01 00:00:00.581
5,976703504,EPgEiRPzNoegSYY,Ku,564296513577691893,912293861472733130,1970-02-22,1970-01-01 00:00:00.121
6,625629610,yiGpoctVrNGHUGX,MA,477238986234045837,886402056318213723,1971-01-01,1970-01-01 00:00:00.030
7,1620589436,VUfLNyXXTfBbOSX,KY,550153360025233984,624129215503886764,1970-07-27,1970-01-01 00:00:00.303
8,1347857476,nOyOJOGzWQvIfwZ,QP,416844966761356719,584406980716083264,1970-01-18,1970-01-01 00:00:00.801
9,1457762931,bfQCkqwZgDqACLB,br,84666582766325664,537559452130062894,1970-06-01,1970-01-01 00:00:00.662
10,1098357185,zilyfUKatOFAlUe,sf,263671726590419049,123175363267234987,1970-05-01,1970-01-01 00:00:00.867
11,656571571,IzJMXmEztFWLPfZ,ba,597623307874083084,358691639742508369,1970-07-21,1970-01-01 00:00:00.692
12,1055798107,DCQBwktMqHMgenk,CV,505697563900437294,637867455244658568,1970-10-07,1970-01-01 00:00:00.213
13,2131696309,rDFlFNMXrpjrFTb,Hp,799997370384743139,53491880924400098,1970-01-10,1970-01-01 00:00:00.916
14,762989790,kNcudpBtfrYKKFL,GT,835710782198712614,715305735603845390,1970-11-07,1970-01-01 00:00:00.854
15,2116522945,NDyndYAXmCFJDDJ,vP,290589940245774500,623146996033852715,1970-02-10,1970-01-01 00:00:00.498
16,87288084,DhXpyKjbapFmAPU,iu,520625845218602822,592227682766382813,1970-04-22,1970-01-01 00:00:00.883
17,1124892113,QxFUdLfhAQFKFUE,iH,232713427110180689,710905805133241123,1970-08-15,1970-01-01 00:00:00.241
18,1054864686,kIThvJEciDndHyX,Ac,324641788118835525,643701429186621281,1970-01-19,1970-01-01 00:00:00.052
19,1876587780,ZhhYsvRjRbkaECJ,wy,877516102998541642,834034608133200628,1970-01-28,1970-01-01 00:00:00.968
